course/slug	old_id	new_id	old_ordinal	new_ordinal	old_active	new_active	old_revision	new_revision	changed_fields
sqlite/share-one-file-between-sessions	206	206	3	3	1	1	1	1	overview,syntax_breakdown,expected_result,systems_lens,challenge,min_version
sqlite/snapshot-reader	229	229	26	56	1	0	1	1	ordinal,active
sqlite/sqlite-architecture-decision	251	251	48	54	1	1	1	3	ordinal,title,tags,overview,syntax_breakdown,code,expected_result,systems_lens,challenge,caution,safety_level,min_version,estimated_minutes,revision
sqlite/strict-storage-contracts	-	253	-	7	-	1	-	1	id,course_id,ordinal,slug,title,category,difficulty,tags,overview,syntax_breakdown,setup,code,expected_result,systems_lens,challenge,caution,safety_level,run_in,sessions,min_version,estimated_minutes,revision,active
sqlite/synchronous-contracts	219	219	16	18	1	1	1	3	ordinal,overview,syntax_breakdown,code,expected_result,systems_lens,min_version,revision
sqlite/transaction-errors-have-scope	-	254	-	20	-	1	-	1	id,course_id,ordinal,slug,title,category,difficulty,tags,overview,syntax_breakdown,setup,code,expected_result,systems_lens,challenge,caution,safety_level,run_in,sessions,min_version,estimated_minutes,revision,active
sqlite/transactional-outbox	242	242	39	57	1	0	1	1	ordinal,active
sqlite/unsafe-live-copy	233	233	30	32	1	1	1	1	ordinal,overview,syntax_breakdown,expected_result,systems_lens,challenge,min_version
sqlite/vacuum-into-snapshot	235	235	32	34	1	1	1	1	ordinal,overview,syntax_breakdown,systems_lens,challenge,caution,min_version
sqlite/wal-growth-incident	249	249	46	52	1	1	1	3	ordinal,title,overview,syntax_breakdown,setup,code,expected_result,systems_lens,challenge,caution,min_version,revision
sqlite/wal-sidecar-files	227	227	24	26	1	1	1	1	ordinal,overview,syntax_breakdown,systems_lens,challenge,min_version
sqlite/without-rowid-layout	212	212	9	11	1	1	1	3	ordinal,overview,syntax_breakdown,code,expected_result,systems_lens,challenge,min_version,revision
